"dateTimeID","aussen14_1_1","aussen14_1_2","tempNum"
"T040217160000",7,7,24
"T040217170000",7.5,7.5,22
"T040217180000",7.5,7.5,22
"T040217190000",6.5,6,22
"T040217200000",7,6.5,22
"T040217210000",7,7,22
"T040217220000",7,7,22
"T040217230000",6.5,6,22
"T050217000000",5.5,5,22
"T050217010000",4,4,22
"T050217020000",2.5,2.5,22
"T050217030000",1,0.5,22
"T050217040000",0,-0.5,22
"T050217050000",-0.5,-1,22
"T050217060000",0,0,22
"T050217070000",0.5,0.5,22
"T050217080000",1.5,1,24
"T050217090000",2.5,2.5,24
"T050217100000",3,2.5,24
"T050217110000",4,4,24
"T050217120000",5.5,5.5,24
"T050217130000",5,5,24
"T050217140000",5,4.5,24
"T050217150000",3.5,3,24
"T050217160000",3,2.5,24
"T050217170000",2.5,2,22
"T050217180000",2,2,22
"T050217190000",1.5,1.5,22
"T050217200000",1,1,22
"T050217210000",0.5,0,22
"T050217220000",0,0,22
"T050217230000",0.5,0.5,22
"T060217000000",0.5,0.5,22
"T060217010000",0.5,0.5,22
"T060217020000",1,0.5,22
"T060217030000",1,1,22
"T060217040000",1,1,22
"T060217050000",1,1,22
"T060217060000",1,1,22
"T060217070000",1,0.5,22
"T060217080000",1,0.5,24
"T060217090000",1.5,1.5,24
"T060217100000",2.5,2,24
"T060217110000",5.5,5,24
"T060217120000",5,4.5,24
"T060217130000",6,5.5,24
"T060217140000",5.5,5,24
"T060217150000",6,6,24
"T060217160000",5.5,5.5,24
"T060217170000",4,3.5,22
"T060217180000",2.5,2,22
"T060217190000",3,2.5,22
"T060217200000",3,2.5,22
"T060217210000",3,2.5,22
"T060217220000",2.5,2.5,22
"T060217230000",2.5,2.5,22
"T070217000000",3,2.5,22
"T070217010000",2.5,2,22
"T070217020000",2,2,22
"T070217030000",1.5,1.5,22
"T070217040000",2,2,22
"T070217050000",1,1,22
"T070217060000",0.5,0.5,22
"T070217070000",0,-0.5,22
"T070217080000",0.5,0.5,24
"T070217090000",1.5,1.5,24
"T070217100000",2.5,2.5,24
"T070217110000",3.5,3.5,24
"T070217120000",4.5,4.5,24
"T070217130000",6,5.5,24
"T070217140000",6,6,24
"T070217150000",6,5.5,24
"T070217160000",4,4,24
"T070217170000",3.5,3.5,22
"T070217180000",3,3,22
"T070217190000",2.5,2,22
"T070217200000",2,2,22
"T070217210000",2,1.5,22
"T070217220000",2,2,22
"T070217230000",2,2,22
"T080217000000",2,1.5,22
"T080217010000",1.5,1.5,22
"T080217020000",1.5,1.5,22
"T080217030000",1.5,1,22
"T080217040000",1,1,22
"T080217050000",1,1,22
"T080217060000",1.5,1,22
"T080217070000",1.5,1,22
"T080217080000",1.5,1.5,24
"T080217090000",2,2,24
"T080217100000",2.5,2.5,24
"T080217110000",3,3,24
"T080217120000",3.5,3.5,24
"T080217130000",3.5,3.5,24
"T080217140000",4,3.5,24
"T080217150000",4,3.5,24
"T080217160000",4,3.5,24
"T080217170000",3.5,3.5,22
"T080217180000",3.5,3.5,22
"T080217190000",3,3,22
"T080217200000",3,3,22
"T080217210000",3,2.5,22
"T080217220000",2.5,2.5,22
"T080217230000",2,2,22
"T090217000000",2,1.5,22
"T090217010000",1,1,22
"T090217020000",0.5,0,22
"T090217030000",0,-0.5,22
"T090217040000",-0.5,-1,22
"T090217050000",-1,-1,22
"T090217060000",-1.5,-1.5,22
"T090217070000",-1.5,-1.5,22
"T090217080000",-1,-1,24
"T090217090000",-0.5,-0.5,24
"T090217100000",0,0,24
"T090217110000",0.5,0.5,24
"T090217120000",1,1,24
"T090217130000",0.5,0.5,24
"T090217140000",1,0.5,24
"T090217150000",0.5,0.5,24
"T090217160000",0.5,0.5,24
"T090217170000",0,0,22
"T090217180000",0.5,0,22
"T090217190000",0.5,0,22
"T090217200000",0.5,0,22
"T090217210000",0.5,0,22
"T090217220000",0.5,0.5,22
"T090217230000",0.5,0,22
"T100217000000",0.5,0,22
"T100217010000",0.5,0,22
"T100217020000",0.5,0,22
"T100217030000",0,0,22
"T100217040000",-0.5,-1,22
"T100217050000",-0.5,-0.5,22
"T100217060000",-1,-1.5,22
"T100217070000",-1,-1,22
"T100217080000",-0.5,-1,24
"T100217090000",0,0,24
"T100217100000",1.5,1.5,24
"T100217110000",2.5,2.5,24
"T100217120000",4,3.5,24
"T100217130000",4,4,24
"T100217140000",4,4,24
"T100217150000",5,4.5,24
"T100217160000",4,4,24
"T100217170000",3.5,3.5,22
"T100217180000",2.5,2.5,22
"T100217190000",1.5,1,22
"T100217200000",0,0,22
"T100217210000",-0.5,-0.5,22
"T100217220000",-1,-1,22
"T100217230000",-1,-1.5,22
"T110217000000",-1.5,-1.5,22
"T110217010000",-0.5,-0.5,22
"T110217020000",0,0,22
"T110217030000",0.5,0,22
"T110217040000",0.5,0,22
"T110217050000",1,0.5,22
"T110217060000",1,0.5,22
"T110217070000",1,0.5,22
"T110217080000",1,0.5,24
"T110217090000",1,1,24
"T110217100000",1.5,1,24
"T110217110000",2,2,24
"T110217120000",3,3,24
"T110217130000",3.5,3.5,24
"T110217140000",5,4.5,24
"T110217150000",5.5,5,24
"T110217160000",5.5,5.5,24
"T110217170000",4,4,22
"T110217180000",2,1.5,22
"T110217190000",0.5,0,22
"T110217200000",0,0,22
"T110217210000",0.5,0,22
"T110217220000",0.5,0,22
"T110217230000",0.5,0,22
"T120217000000",0.5,0,22
"T120217010000",0.5,0,22
"T120217020000",0,0,22
"T120217030000",0,-0.5,22
"T120217040000",0,0,22
"T120217050000",0.5,0,22
"T120217060000",0.5,0,22
"T120217070000",0,0,22
"T120217080000",0,0,24
"T120217090000",0.5,0.5,24
"T120217100000",1,0.5,24
"T120217110000",2.5,2.5,24
"T120217120000",3.5,3,24
"T120217130000",4.5,4,24
"T120217140000",5,4.5,24
"T120217150000",5.5,5,24
"T120217160000",5.5,5.5,24
"T120217170000",5,4.5,22
"T120217180000",3.5,3,22
"T120217190000",2.5,2.5,22
"T120217200000",1.5,1,22
"T120217210000",1,1,22
"T120217220000",1,0.5,22
"T120217230000",1,0.5,22
"T130217000000",0.5,0.5,22
"T130217010000",0.5,0.5,22
"T130217020000",1,0.5,22
"T130217030000",0.5,0.5,22
"T130217040000",0.5,0,22
"T130217050000",0.5,0,22
"T130217060000",0.5,0,22
"T130217070000",0.5,0,22
"T130217080000",0.5,0.5,24
"T130217090000",0.5,0.5,24
"T130217100000",1,0.5,24
